SampleID,aerobic_status_corrected,common,Proportion,Counts
BeardedDragon.0.Feces.1.1,obligate anaerobe,Bearded Dragon,0.8646969396523233,26164
BeardedDragon.0.Feces.1.1,NA,Bearded Dragon,0.022969132130345692,695
Bedbug.1.Gut.1.1,aerobe,Bedbug,0.1405006792159907,724
Bedbug.1.Gut.1.1,facultative anaerobe,Bedbug,0.04521637880846109,233
Bedbug.1.Gut.1.1,intracellular,Bedbug,0.8125363865709295,4187
Bedbug.1.Gut.1.1,NA,Bedbug,0.0017465554046186688,9
Bedbug.3.Gut.1.1,aerobe,Bedbug,1.4414622192752329e-4,5
Bedbug.3.Gut.1.1,facultative anaerobe,Bedbug,6.054141320955978e-4,21
Bedbug.3.Gut.1.1,intracellular,Bedbug,0.9979819528930147,34617
Bedbug.3.Gut.1.1,no taxonomic assignment,Bedbug,5.765848877100931e-5,2
Bedbug.3.Gut.1.1,obligate anaerobe,Bedbug,3.171216882405512e-4,11
Bedbug.3.Gut.1.1,NA,Bedbug,8.937065759506444e-4,31
Bedbug.6.Gut.1.1,aerobe,Bedbug,0.7442329227323629,3323
Bedbug.6.Gut.1.1,facultative anaerobe,Bedbug,0.2517357222844345,1124
Bedbug.6.Gut.1.1,microaerobe or anaerobe,Bedbug,4.479283314669653e-4,2
Bedbug.6.Gut.1.1,obligate anaerobe,Bedbug,0.0013437849944008958,6
Bedbug.6.Gut.1.1,NA,Bedbug,0.0022396416573348264,10
Bee.M1.Gut.1.1,aerobe,Western Honey Bee,0.36645091205359165,24288
Bee.M1.Gut.1.1,facultative anaerobe,Western Honey Bee,0.1686808793132063,11180
Bee.M1.Gut.1.1,intracellular,Western Honey Bee,1.5087735180072119e-5,1
Bee.M1.Gut.1.1,no taxonomic assignment,Western Honey Bee,0.0026252659213325488,174
Bee.M1.Gut.1.1,obligate anaerobe,Western Honey Bee,8.750886404441829e-4,58
Bee.M1.Gut.1.1,Streptophyta,Western Honey Bee,3.0175470360144237e-5,2
Bee.M1.Gut.1.1,NA,Western Honey Bee,0.4613225908658851,30576
Bee.M2.Gut.1.1,aerobe,Long-horned Bee,0.6244429208090504,14572
Bee.M2.Gut.1.1,facultative anaerobe,Long-horned Bee,0.01688378471031882,394
Bee.M2.Gut.1.1,no taxonomic assignment,Long-horned Bee,0.0011570106273568735,27
Bee.M2.Gut.1.1,obligate anaerobe,Long-horned Bee,1.2855673637298596e-4,3
Bee.M2.Gut.1.1,Streptophyta,Long-horned Bee,0.30935035995886184,7219
Bee.M2.Gut.1.1,variable,Long-horned Bee,8.570449091532397e-5,2
Bee.M2.Gut.1.1,NA,Long-horned Bee,0.04795166266712376,1119
Bee.M3.Gut.1.1,aerobe,European Wool Carder Bee,0.7434654722909286,22243
Bee.M3.Gut.1.1,facultative anaerobe,European Wool Carder Bee,5.01370412460726e-4,15
Bee.M3.Gut.1.1,intracellular,European Wool Carder Bee,6.68493883280968e-5,2
Bee.M3.Gut.1.1,no taxonomic assignment,European Wool Carder Bee,2.673975533123872e-4,8
Bee.M3.Gut.1.1,obligate anaerobe,European Wool Carder Bee,3.34246941640484e-5,1
Bee.M3.Gut.1.1,Streptophyta,European Wool Carder Bee,0.10371682599104218,3103
Bee.M3.Gut.1.1,NA,European Wool Carder Bee,0.15194865966976404,4546
Bee.M4.Gut.1.1,aerobe,Two-spotted Bumble Bee,0.03362740739007325,1437
Bee.M4.Gut.1.1,facultative anaerobe,Two-spotted Bumble Bee,0.018978307163082395,811
Bee.M4.Gut.1.1,no taxonomic assignment,Two-spotted Bumble Bee,0.887347015187326,37919
Bee.M4.Gut.1.1,obligate anaerobe,Two-spotted Bumble Bee,7.020335572040343e-5,3
Bee.M4.Gut.1.1,Streptophyta,Two-spotted Bumble Bee,2.3401118573467812e-5,1
Bee.M4.Gut.1.1,NA,Two-spotted Bumble Bee,0.059953665785224534,2562
Bee.R2.Gut.1.1,aerobe,Two-spotted Bumble Bee,0.002712794816966138,85
Bee.R2.Gut.1.1,facultative anaerobe,Two-spotted Bumble Bee,0.3626527941786615,11363
Bee.R2.Gut.1.1,no taxonomic assignment,Two-spotted Bumble Bee,4.787284971116714e-4,15
Bee.R2.Gut.1.1,obligate anaerobe,Two-spotted Bumble Bee,3.1915233140778095e-5,1
Bee.R2.Gut.1.1,Streptophyta,Two-spotted Bumble Bee,5.106437302524495e-4,16
Bee.R2.Gut.1.1,NA,Two-spotted Bumble Bee,0.6336131235438676,19853
Bonobo.BI0331.Feces.1.1,aerobe,Pig,0.047915804716590814,1853
Bonobo.BI0331.Feces.1.1,facultative anaerobe,Pig,0.024901737691352916,963
Bonobo.BI0331.Feces.1.1,microaerobe or anaerobe,Pig,7.757550682664459e-5,3
Bonobo.BI0331.Feces.1.1,no taxonomic assignment,Pig,0.06273272652047994,2426
Bonobo.BI0331.Feces.1.1,obligate anaerobe,Pig,0.8097072817542408,31313
Bonobo.BI0331.Feces.1.1,Streptophyta,Pig,5.17170045510964e-5,2
Bonobo.BI0331.Feces.1.1,variable,Pig,2.58585022755482e-5,1
Bonobo.BI0331.Feces.1.1,NA,Pig,0.05458729830368225,2111
Bonobo.IK3158.Feces.1.1,aerobe,Bonobo,2.331364625427417e-4,9
Bonobo.IK3158.Feces.1.1,facultative anaerobe,Bonobo,4.403688736918454e-4,17
Bonobo.IK3158.Feces.1.1,microaerobe or anaerobe,Bonobo,2.3313646254274168e-4,9
Bonobo.IK3158.Feces.1.1,no taxonomic assignment,Bonobo,0.09664801574966325,3731
Bonobo.IK3158.Feces.1.1,obligate anaerobe,Bonobo,0.6228370117086313,24044
Bonobo.IK3158.Feces.1.1,Streptophyta,Bonobo,0.00305667806444928,118
Bonobo.IK3158.Feces.1.1,NA,Bonobo,0.2765516526784789,10676
Bonobo.IK3276.Feces.1.1,aerobe,Bonobo,2.2678822515534993e-5,1
Bonobo.IK3276.Feces.1.1,facultative anaerobe,Bonobo,1.5875175760874494e-4,7
Bonobo.IK3276.Feces.1.1,microaerobe or anaerobe,Bonobo,5.669705628883749e-4,25
Bonobo.IK3276.Feces.1.1,no taxonomic assignment,Bonobo,0.07688120832766362,3390
Bonobo.IK3276.Feces.1.1,obligate anaerobe,Bonobo,0.8253277089853495,36392
Bonobo.IK3276.Feces.1.1,Streptophyta,Bonobo,0.008255091395654737,364
Bonobo.IK3276.Feces.1.1,NA,Bonobo,0.0887875901483195,3915
Bonobo.IK3358.Feces.1.1,aerobe,Bonobo,7.795852606413388e-5,3
Bonobo.IK3358.Feces.1.1,facultative anaerobe,Bonobo,0.01566966373889091,603
Bonobo.IK3358.Feces.1.1,microaerobe or anaerobe,Bonobo,0.002546645184761707,98
Bonobo.IK3358.Feces.1.1,no taxonomic assignment,Bonobo,0.1479392962943714,5693
Bonobo.IK3358.Feces.1.1,obligate anaerobe,Bonobo,0.6901148588950679,26557
Bonobo.IK3358.Feces.1.1,Streptophyta,Bonobo,0.018632087729328,717
Bonobo.IK3358.Feces.1.1,variable,Bonobo,2.5986175354711293e-5,1
Bonobo.IK3358.Feces.1.1,NA,Bonobo,0.12499350345616132,4810
Bonobo.IK3469.Feces.1.1,aerobe,Bonobo,0.08194536327197727,8423
Bonobo.IK3469.Feces.1.1,facultative anaerobe,Bonobo,0.2167179048137915,22276
Bonobo.IK3469.Feces.1.1,microaerobe or aerobe,Bonobo,1.945752422461766e-5,2
Bonobo.IK3469.Feces.1.1,microaerobe or anaerobe,Bonobo,0.003103475113826517,319
Bonobo.IK3469.Feces.1.1,no taxonomic assignment,Bonobo,0.096742810444799,9944
Bonobo.IK3469.Feces.1.1,obligate anaerobe,Bonobo,0.4206716737362338,43240
Bonobo.IK3469.Feces.1.1,Streptophyta,Bonobo,0.005506479355566798,566
Bonobo.IK3469.Feces.1.1,variable,Bonobo,1.945752422461766e-5,2
Bonobo.IK3469.Feces.1.1,NA,Bonobo,0.17527337821535588,18016
Bonobo.IK3513.Feces.1.1,aerobe,Bonobo,6.836082627433497e-4,46
Bonobo.IK3513.Feces.1.1,facultative anaerobe,Bonobo,0.0032545697726259477,219
Bonobo.IK3513.Feces.1.1,microaerobe or anaerobe,Bonobo,0.014103135681379105,949
Bonobo.IK3513.Feces.1.1,no taxonomic assignment,Bonobo,0.12551642145935504,8446
Bonobo.IK3513.Feces.1.1,obligate anaerobe,Bonobo,0.7241046217862981,48725
Bonobo.IK3513.Feces.1.1,Streptophyta,Bonobo,0.00221429632932085,149
Bonobo.IK3513.Feces.1.1,variable,Bonobo,5.9444196760291276e-5,4
Bonobo.IK3513.Feces.1.1,NA,Bonobo,0.1300639025115173,8752
Bonobo.IK3650.Feces.1.1,aerobe,Bonobo,0.010327601114420213,430
Bonobo.IK3650.Feces.1.1,facultative anaerobe,Bonobo,0.03259198770294937,1357
Bonobo.IK3650.Feces.1.1,microaerobe or anaerobe,Bonobo,2.4017677010279567e-5,1
Bonobo.IK3650.Feces.1.1,no taxonomic assignment,Bonobo,0.18949947161110578,7890
Bonobo.IK3650.Feces.1.1,obligate anaerobe,Bonobo,0.5561533288500337,23156
Bonobo.IK3650.Feces.1.1,Streptophyta,Bonobo,0.05137381112498799,2139
Bonobo.IK3650.Feces.1.1,variable,Bonobo,0.006004419252569892,250
Bonobo.IK3650.Feces.1.1,NA,Bonobo,0.15402536266692285,6413
Bonobo.IK3701.Feces.1.1,aerobe,Bonobo,0.12609998368804679,14688
Bonobo.IK3701.Feces.1.1,facultative anaerobe,Bonobo,0.030177113471097795,3515
Bonobo.IK3701.Feces.1.1,microaerobe or aerobe,Bonobo,1.7170477081705714e-5,2
Bonobo.IK3701.Feces.1.1,microaerobe or anaerobe,Bonobo,0.0013822234050773102,161
Bonobo.IK3701.Feces.1.1,no taxonomic assignment,Bonobo,0.15761639437151762,18359
Bonobo.IK3701.Feces.1.1,obligate anaerobe,Bonobo,0.46591231037354375,54269
Bonobo.IK3701.Feces.1.1,Streptophyta,Bonobo,0.0029018106268082658,338
Bonobo.IK3701.Feces.1.1,variable,Bonobo,7.898419457584629e-4,92
Bonobo.IK3701.Feces.1.1,NA,Bonobo,0.21510315164106833,25055
Bonobo.IK3777.Feces.1.1,aerobe,Bonobo,1.5020427781783224e-4,5
Bonobo.IK3777.Feces.1.1,facultative anaerobe,Bonobo,6.308579668348954e-4,21
Bonobo.IK3777.Feces.1.1,microaerobe or anaerobe,Bonobo,0.003935352078827205,131
Bonobo.IK3777.Feces.1.1,no taxonomic assignment,Bonobo,0.13542417688055755,4508
Bonobo.IK3777.Feces.1.1,obligate anaerobe,Bonobo,0.5199471280942081,17308
Bonobo.IK3777.Feces.1.1,Streptophyta,Bonobo,0.018204758471521268,606
Bonobo.IK3777.Feces.1.1,variable,Bonobo,3.004085556356645e-5,1
Bonobo.IK3777.Feces.1.1,NA,Bonobo,0.32167748137466956,10708
Bonobo.IK4184.Feces.1.1,facultative anaerobe,Bonobo,1.1901219875037192e-4,4
Bonobo.IK4184.Feces.1.1,microaerobe or anaerobe,Bonobo,4.462957453138947e-4,15
Bonobo.IK4184.Feces.1.1,no taxonomic assignment,Bonobo,0.21029455519190718,7068
Bonobo.IK4184.Feces.1.1,obligate anaerobe,Bonobo,0.6341267479916691,21313
Bonobo.IK4184.Feces.1.1,Streptophyta,Bonobo,7.140731925022315e-4,24
Bonobo.IK4184.Feces.1.1,NA,Bonobo,0.1542993156798572,5186
Bonobo.IK4214.Feces.1.1,aerobe,Bonobo,5.027146591594611e-5,5
Bonobo.IK4214.Feces.1.1,facultative anaerobe,Bonobo,6.937462296400563e-4,69
Bonobo.IK4214.Feces.1.1,microaerobe or anaerobe,Bonobo,4.7255177960989344e-4,47
Bonobo.IK4214.Feces.1.1,no taxonomic assignment,Bonobo,0.1381560426302031,13741
Bonobo.IK4214.Feces.1.1,obligate anaerobe,Bonobo,0.6106877136537301,60739
Bonobo.IK4214.Feces.1.1,Streptophyta,Bonobo,3.016287954956767e-4,30
Bonobo.IK4214.Feces.1.1,variable,Bonobo,2.0108586366378444e-5,2
Bonobo.IK4214.Feces.1.1,NA,Bonobo,0.24961793685903882,24827
Bonobo.KR02.Feces.1.1,aerobe,Bonobo,3.0945589580754537e-4,23
Bonobo.KR02.Feces.1.1,facultative anaerobe,Bonobo,1.076368333243636e-4,8
Bonobo.KR02.Feces.1.1,microaerobe or aerobe,Bonobo,1.345460416554545e-5,1
Bonobo.KR02.Feces.1.1,microaerobe or anaerobe,Bonobo,4.574565416285453e-4,34
Bonobo.KR02.Feces.1.1,no taxonomic assignment,Bonobo,0.22418061460631827,16662
Bonobo.KR02.Feces.1.1,obligate anaerobe,Bonobo,0.6848393520262633,50900
Bonobo.KR02.Feces.1.1,Streptophyta,Bonobo,0.011288412894892633,839
Bonobo.KR02.Feces.1.1,variable,Bonobo,4.036381249663635e-5,3
Bonobo.KR02.Feces.1.1,NA,Bonobo,0.07876325278510306,5854
Bonobo.KR05.Feces.1.1,aerobe,Bonobo,2.706469816095376e-5,2
Bonobo.KR05.Feces.1.1,microaerobe or anaerobe,Bonobo,0.001583284842415795,117
Bonobo.KR05.Feces.1.1,no taxonomic assignment,Bonobo,0.24171481927547803,17862
Bonobo.KR05.Feces.1.1,obligate anaerobe,Bonobo,0.648497232634613,47922
Bonobo.KR05.Feces.1.1,Streptophyta,Bonobo,0.0023681610890834543,175
Bonobo.KR05.Feces.1.1,NA,Bonobo,0.10580943746024872,7819
Bonobo.KR07.Feces.1.1,aerobe,Bonobo,9.84067940050581e-6,1
Bonobo.KR07.Feces.1.1,facultative anaerobe,Bonobo,8.266170696424882e-4,84
Bonobo.KR07.Feces.1.1,microaerobe or anaerobe,Bonobo,0.004644800677038743,472
Bonobo.KR07.Feces.1.1,no taxonomic assignment,Bonobo,0.1635619323158071,16621
Bonobo.KR07.Feces.1.1,obligate anaerobe,Bonobo,0.7210265796750608,73270
Bonobo.KR07.Feces.1.1,Streptophyta,Bonobo,0.004014997195406371,408
Bonobo.KR07.Feces.1.1,NA,Bonobo,0.10591523238764404,10763
Bonobo.KR10.Feces.1.1,aerobe,Bonobo,1.3531799729364006e-4,7
Bonobo.KR10.Feces.1.1,facultative anaerobe,Bonobo,0.0037695727817514016,195
Bonobo.KR10.Feces.1.1,microaerobe or anaerobe,Bonobo,0.0037695727817514016,195
Bonobo.KR10.Feces.1.1,no taxonomic assignment,Bonobo,0.1513241832592306,7828
Bonobo.KR10.Feces.1.1,obligate anaerobe,Bonobo,0.7448095882466654,38529
Bonobo.KR10.Feces.1.1,Streptophyta,Bonobo,0.002203750241639281,114
Bonobo.KR10.Feces.1.1,NA,Bonobo,0.09398801469166827,4862
Bonobo.KR12.Feces.1.1,aerobe,Bonobo,2.5449501826001756e-5,2
Bonobo.KR12.Feces.1.1,facultative anaerobe,Bonobo,2.2904551643401582e-4,18
Bonobo.KR12.Feces.1.1,microaerobe or anaerobe,Bonobo,0.012648402407522873,994
Bonobo.KR12.Feces.1.1,no taxonomic assignment,Bonobo,0.1521625714176645,11958
Bonobo.KR12.Feces.1.1,obligate anaerobe,Bonobo,0.7708017865550282,60575
Bonobo.KR12.Feces.1.1,Streptophyta,Bonobo,2.799445200860193e-4,22
Bonobo.KR12.Feces.1.1,variable,Bonobo,1.2724750913000878e-5,1
Bonobo.KR12.Feces.1.1,NA,Bonobo,0.06384007533052541,5017
Bonobo.KR21.Feces.1.1,aerobe,Bonobo,1.201730491908348e-4,6
Bonobo.KR21.Feces.1.1,facultative anaerobe,Bonobo,1.402018907226406e-4,7
Bonobo.KR21.Feces.1.1,microaerobe or anaerobe,Bonobo,0.0113964108315975,569
Bonobo.KR21.Feces.1.1,no taxonomic assignment,Bonobo,0.34527719916680016,17239
Bonobo.KR21.Feces.1.1,obligate anaerobe,Bonobo,0.5564412754366287,27782
Bonobo.KR21.Feces.1.1,Streptophyta,Bonobo,0.006248998557923409,312
Bonobo.KR21.Feces.1.1,NA,Bonobo,0.08037574106713667,4013
Bonobo.KR33.Feces.1.1,aerobe,Bonobo,4.3539784478066834e-5,2
Bonobo.KR33.Feces.1.1,facultative anaerobe,Bonobo,0.013845651464025253,636
Bonobo.KR33.Feces.1.1,microaerobe or anaerobe,Bonobo,0.06256667029498204,2874
Bonobo.KR33.Feces.1.1,no taxonomic assignment,Bonobo,0.36876020463698705,16939
Bonobo.KR33.Feces.1.1,obligate anaerobe,Bonobo,0.41983237182975947,19285
Bonobo.KR33.Feces.1.1,Streptophyta,Bonobo,0.001415042995537172,65
Bonobo.KR33.Feces.1.1,NA,Bonobo,0.133536518994231,6134
Bonobo.KR35.Feces.1.1,aerobe,Bonobo,7.432954748171494e-5,5
Bonobo.KR35.Feces.1.1,facultative anaerobe,Bonobo,1.4865909496342988e-4,10
Bonobo.KR35.Feces.1.1,microaerobe or anaerobe,Bonobo,0.02678836891241006,1802
Bonobo.KR35.Feces.1.1,no taxonomic assignment,Bonobo,0.23158113813403103,15578
Bonobo.KR35.Feces.1.1,obligate anaerobe,Bonobo,0.5803502408277339,39039
Bonobo.KR35.Feces.1.1,Streptophyta,Bonobo,0.0017987750490575014,121
Bonobo.KR35.Feces.1.1,NA,Bonobo,0.15925848843432241,10713
Bonobo.KR52.Feces.1.1,aerobe,Bonobo,1.2341978595482837e-4,7
Bonobo.KR52.Feces.1.1,facultative anaerobe,Bonobo,1.0578838796128145e-4,6
Bonobo.KR52.Feces.1.1,microaerobe or anaerobe,Bonobo,0.0061180951037607765,347
Bonobo.KR52.Feces.1.1,no taxonomic assignment,Bonobo,0.197330606343777,11192
Bonobo.KR52.Feces.1.1,obligate anaerobe,Bonobo,0.628259604704057,35633
Bonobo.KR52.Feces.1.1,Streptophyta,Bonobo,0.009997002662341097,567
Bonobo.KR52.Feces.1.1,variable,Bonobo,7.052559197418764e-5,4
Bonobo.KR52.Feces.1.1,NA,Bonobo,0.15799495742017386,8961
Bonobo.KR57.Feces.1.1,aerobe,Bonobo,2.7030679821597514e-4,6
Bonobo.KR57.Feces.1.1,facultative anaerobe,Bonobo,4.5051133035995854e-5,1
Bonobo.KR57.Feces.1.1,microaerobe or anaerobe,Bonobo,0.010677118529531017,237
Bonobo.KR57.Feces.1.1,no taxonomic assignment,Bonobo,0.1675001126278326,3718
Bonobo.KR57.Feces.1.1,obligate anaerobe,Bonobo,0.6571608775960716,14587
Bonobo.KR57.Feces.1.1,Streptophyta,Bonobo,3.6040906428796683e-4,8
Bonobo.KR57.Feces.1.1,variable,Bonobo,4.5051133035995854e-5,1
Bonobo.KR57.Feces.1.1,NA,Bonobo,0.16394107311798892,3639
Bonobo.KR67.Feces.1.1,aerobe,Bonobo,5.137294187151627e-5,6
Bonobo.KR67.Feces.1.1,facultative anaerobe,Bonobo,3.424862791434418e-5,4
Bonobo.KR67.Feces.1.1,microaerobe or anaerobe,Bonobo,0.00851078403671453,994
Bonobo.KR67.Feces.1.1,no taxonomic assignment,Bonobo,0.28544518935210156,33338
Bonobo.KR67.Feces.1.1,obligate anaerobe,Bonobo,0.6066459462467785,70852
Bonobo.KR67.Feces.1.1,Streptophyta,Bonobo,0.01580574178246984,1846
Bonobo.KR67.Feces.1.1,variable,Bonobo,8.562156978586045e-6,1
Bonobo.KR67.Feces.1.1,NA,Bonobo,0.08349815485517112,9752
Bonobo.LG4327.Feces.1.1,aerobe,Bonobo,0.014313538144936057,779
Bonobo.LG4327.Feces.1.1,facultative anaerobe,Bonobo,0.007900926062031457,430
Bonobo.LG4327.Feces.1.1,microaerobe or anaerobe,Bonobo,0.026164927237983242,1424
Bonobo.LG4327.Feces.1.1,no taxonomic assignment,Bonobo,0.12496325150668823,6801
Bonobo.LG4327.Feces.1.1,obligate anaerobe,Bonobo,0.608242687049831,33103
Bonobo.LG4327.Feces.1.1,Streptophyta,Bonobo,2.3886520652653242e-4,13
Bonobo.LG4327.Feces.1.1,variable,Bonobo,1.837424665588711e-5,1
Bonobo.LG4327.Feces.1.1,NA,Bonobo,0.21815743054534764,11873
Bonobo.LK645.Feces.1.1,aerobe,Bonobo,6.719526945303051e-5,5
Bonobo.LK645.Feces.1.1,facultative anaerobe,Bonobo,0.0018277113291224297,136
Bonobo.LK645.Feces.1.1,microaerobe or anaerobe,Bonobo,0.011154414729203064,830
Bonobo.LK645.Feces.1.1,no taxonomic assignment,Bonobo,0.1372127402230883,10210
Bonobo.LK645.Feces.1.1,obligate anaerobe,Bonobo,0.7498320118263674,55795
Bonobo.LK645.Feces.1.1,Streptophyta,Bonobo,3.359763472651525e-4,25
Bonobo.LK645.Feces.1.1,NA,Bonobo,0.09956995027550061,7409
Bonobo.LK647.Feces.1.1,aerobe,Bonobo,1.123835425540284e-4,10
Bonobo.LK647.Feces.1.1,facultative anaerobe,Bonobo,0.0012699340308605209,113
Bonobo.LK647.Feces.1.1,microaerobe or anaerobe,Bonobo,0.04608849080140704,4101
Bonobo.LK647.Feces.1.1,no taxonomic assignment,Bonobo,0.11968847282004023,10650
Bonobo.LK647.Feces.1.1,obligate anaerobe,Bonobo,0.5586698283903305,49711
Bonobo.LK647.Feces.1.1,Streptophyta,Bonobo,0.0024162461649116103,215
Bonobo.LK647.Feces.1.1,variable,Bonobo,1.1238354255402839e-5,1
Bonobo.LK647.Feces.1.1,NA,Bonobo,0.27174340589564067,24180
Bonobo.LK653.Feces.1.1,aerobe,Bonobo,4.0229674871082176e-4,33
Bonobo.LK653.Feces.1.1,facultative anaerobe,Bonobo,0.003840105328603299,315
Bonobo.LK653.Feces.1.1,microaerobe or aerobe,Bonobo,2.43816211339892e-5,2
Bonobo.LK653.Feces.1.1,microaerobe or anaerobe,Bonobo,0.001182508624998476,97
Bonobo.LK653.Feces.1.1,no taxonomic assignment,Bonobo,0.14777700569310853,12122
Bonobo.LK653.Feces.1.1,obligate anaerobe,Bonobo,0.6747491740725841,55349
Bonobo.LK653.Feces.1.1,Streptophyta,Bonobo,0.001182508624998476,97
Bonobo.LK653.Feces.1.1,variable,Bonobo,3.65724317009838e-5,3
Bonobo.LK653.Feces.1.1,NA,Bonobo,0.17080544685416132,14011
Bonobo.LK661.Feces.1.1,aerobe,Bonobo,1.2326276540014174e-4,12
Bonobo.LK661.Feces.1.1,facultative anaerobe,Bonobo,7.190327981674935e-5,7
Bonobo.LK661.Feces.1.1,microaerobe or aerobe,Bonobo,4.108758846671392e-5,4
Bonobo.LK661.Feces.1.1,microaerobe or anaerobe,Bonobo,0.004766160262138814,464
Bonobo.LK661.Feces.1.1,no taxonomic assignment,Bonobo,0.11936971639292061,11621
Bonobo.LK661.Feces.1.1,obligate anaerobe,Bonobo,0.6534878226659682,63619
Bonobo.LK661.Feces.1.1,Streptophyta,Bonobo,0.018458599118671228,1797
Bonobo.LK661.Feces.1.1,variable,Bonobo,7.190327981674935e-5,7
Bonobo.LK661.Feces.1.1,NA,Bonobo,0.2036095446468008,19822
Bonobo.LK665.Feces.1.1,aerobe,Bonobo,5.095151962907294e-5,2
Bonobo.LK665.Feces.1.1,facultative anaerobe,Bonobo,2.547575981453647e-5,1
Bonobo.LK665.Feces.1.1,microaerobe or anaerobe,Bonobo,0.012151937431533895,477
Bonobo.LK665.Feces.1.1,no taxonomic assignment,Bonobo,0.14630728861488293,5743
Bonobo.LK665.Feces.1.1,obligate anaerobe,Bonobo,0.756859348330064,29709
Bonobo.LK665.Feces.1.1,Streptophyta,Bonobo,0.002292818383308282,90
Bonobo.LK665.Feces.1.1,NA,Bonobo,0.08231217996076733,3231
Bonobo.LK668.Feces.1.1,aerobe,Bonobo,2.8125878933716675e-4,9
Bonobo.LK668.Feces.1.1,facultative anaerobe,Bonobo,0.006843963873871059,219
Bonobo.LK668.Feces.1.1,microaerobe or anaerobe,Bonobo,9.062783211975375e-4,29
Bonobo.LK668.Feces.1.1,no taxonomic assignment,Bonobo,0.11312853526672709,3620
Bonobo.LK668.Feces.1.1,obligate anaerobe,Bonobo,0.6679583736991781,21374
Bonobo.LK668.Feces.1.1,Streptophyta,Bonobo,0.002656333010406575,85
Bonobo.LK668.Feces.1.1,variable,Bonobo,1.5625488296509265e-4,5
Bonobo.LK668.Feces.1.1,NA,Bonobo,0.20806900215631738,6658
Bonobo.LK670.Feces.1.1,aerobe,Bonobo,8.830704359056439e-5,8
Bonobo.LK670.Feces.1.1,facultative anaerobe,Bonobo,2.538827503228726e-4,23
Bonobo.LK670.Feces.1.1,microaerobe or aerobe,Bonobo,1.1038380448820549e-5,1
Bonobo.LK670.Feces.1.1,microaerobe or anaerobe,Bonobo,0.005607497268000839,508
Bonobo.LK670.Feces.1.1,no taxonomic assignment,Bonobo,0.13097038402525582,11865
Bonobo.LK670.Feces.1.1,obligate anaerobe,Bonobo,0.7696510767940128,69725
Bonobo.LK670.Feces.1.1,Streptophyta,Bonobo,0.003090746525669754,280
Bonobo.LK670.Feces.1.1,variable,Bonobo,4.4153521795282196e-5,4
Bonobo.LK670.Feces.1.1,NA,Bonobo,0.09028291369090327,8179
Bonobo.LK682.Feces.1.1,aerobe,Bonobo,3.1419863637791814e-5,2
Bonobo.LK682.Feces.1.1,facultative anaerobe,Bonobo,5.02717818204669e-4,32
Bonobo.LK682.Feces.1.1,microaerobe or anaerobe,Bonobo,7.697866591258994e-4,49
Bonobo.LK682.Feces.1.1,no taxonomic assignment,Bonobo,0.14105947780186634,8979
